trial_id,cell_id,brain_area,window,spike_count,direction,instruction_time,go_time
0,0,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,0,PMd,go,8.0,3,14.852566666666666,16.308333333333334
0,1,PMd,instruction,9.0,3,14.852566666666666,16.308333333333334
0,1,PMd,go,23.0,3,14.852566666666666,16.308333333333334
0,2,PMd,instruction,3.0,3,14.852566666666666,16.308333333333334
0,2,PMd,go,5.0,3,14.852566666666666,16.308333333333334
0,3,PMd,instruction,1.0,3,14.852566666666666,16.308333333333334
0,3,PMd,go,4.0,3,14.852566666666666,16.308333333333334
0,4,PMd,instruction,8.0,3,14.852566666666666,16.308333333333334
0,4,PMd,go,8.0,3,14.852566666666666,16.308333333333334
0,5,PMd,instruction,1.0,3,14.852566666666666,16.308333333333334
0,5,PMd,go,0.0,3,14.852566666666666,16.308333333333334
0,6,PMd,instruction,2.0,3,14.852566666666666,16.308333333333334
0,6,PMd,go,9.0,3,14.852566666666666,16.308333333333334
0,7,PMd,instruction,5.0,3,14.852566666666666,16.308333333333334
0,7,PMd,go,2.0,3,14.852566666666666,16.308333333333334
0,8,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,8,PMd,go,0.0,3,14.852566666666666,16.308333333333334
0,9,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,9,PMd,go,0.0,3,14.852566666666666,16.308333333333334
0,10,PMd,instruction,8.0,3,14.852566666666666,16.308333333333334
0,10,PMd,go,7.0,3,14.852566666666666,16.308333333333334
0,11,PMd,instruction,8.0,3,14.852566666666666,16.308333333333334
0,11,PMd,go,17.0,3,14.852566666666666,16.308333333333334
0,12,PMd,instruction,1.0,3,14.852566666666666,16.308333333333334
0,12,PMd,go,0.0,3,14.852566666666666,16.308333333333334
0,13,PMd,instruction,2.0,3,14.852566666666666,16.308333333333334
0,13,PMd,go,1.0,3,14.852566666666666,16.308333333333334
0,14,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,14,PMd,go,3.0,3,14.852566666666666,16.308333333333334
0,15,PMd,instruction,50.0,3,14.852566666666666,16.308333333333334
0,15,PMd,go,75.0,3,14.852566666666666,16.308333333333334
0,16,PMd,instruction,32.0,3,14.852566666666666,16.308333333333334
0,16,PMd,go,23.0,3,14.852566666666666,16.308333333333334
0,17,PMd,instruction,4.0,3,14.852566666666666,16.308333333333334
0,17,PMd,go,21.0,3,14.852566666666666,16.308333333333334
0,18,PMd,instruction,6.0,3,14.852566666666666,16.308333333333334
0,18,PMd,go,2.0,3,14.852566666666666,16.308333333333334
0,19,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,19,PMd,go,1.0,3,14.852566666666666,16.308333333333334
0,20,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,20,PMd,go,3.0,3,14.852566666666666,16.308333333333334
0,21,PMd,instruction,1.0,3,14.852566666666666,16.308333333333334
0,21,PMd,go,9.0,3,14.852566666666666,16.308333333333334
0,22,PMd,instruction,21.0,3,14.852566666666666,16.308333333333334
0,22,PMd,go,21.0,3,14.852566666666666,16.308333333333334
0,23,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,23,PMd,go,0.0,3,14.852566666666666,16.308333333333334
0,24,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,24,PMd,go,0.0,3,14.852566666666666,16.308333333333334
0,25,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,25,PMd,go,0.0,3,14.852566666666666,16.308333333333334
0,26,PMd,instruction,3.0,3,14.852566666666666,16.308333333333334
0,26,PMd,go,22.0,3,14.852566666666666,16.308333333333334
0,27,PMd,instruction,9.0,3,14.852566666666666,16.308333333333334
0,27,PMd,go,6.0,3,14.852566666666666,16.308333333333334
0,28,PMd,instruction,3.0,3,14.852566666666666,16.308333333333334
0,28,PMd,go,17.0,3,14.852566666666666,16.308333333333334
0,29,PMd,instruction,4.0,3,14.852566666666666,16.308333333333334
0,29,PMd,go,7.0,3,14.852566666666666,16.308333333333334
0,30,PMd,instruction,22.0,3,14.852566666666666,16.308333333333334
0,30,PMd,go,70.0,3,14.852566666666666,16.308333333333334
0,31,PMd,instruction,0.0,3,14.852566666666666,16.308333333333334
0,31,PMd,go,6.0,3,14.852566666666666,16.308333333333334
0,32,PMd,instruction,15.0,3,14.852566666666666,16.308333333333334
0,32,PMd,go,9.0,3,14.852566666666666,16.308333333333334
0,33,PMd,instruction,53.0,3,14.852566666666666,16.308333333333334
0,33,PMd,go,59.0,3,14.852566666666666,16.308333333333334
0,34,PMd,instruction,9.0,3,14.852566666666666,16.308333333333334
0,34,PMd,go,17.0,3,14.852566666666666,16.308333333333334
0,35,PMd,instruction,26.0,3,14.852566666666666,16.308333333333334
0,35,PMd,go,75.0,3,14.852566666666666,16.308333333333334
0,36,PMd,instruction,3.0,3,14.852566666666666,16.308333333333334
0,36,PMd,go,11.0,3,14.852566666666666,16.308333333333334
0,37,PMd,instruction,3.0,3,14.852566666666666,16.308333333333334
0,37,PMd,go,3.0,3,14.852566666666666,16.308333333333334
0,38,PMd,instruction,40.0,3,14.852566666666666,16.308333333333334
0,38,PMd,go,35.0,3,14.852566666666666,16.308333333333334
0,39,PMd,instruction,3.0,3,14.852566666666666,16.308333333333334
0,39,PMd,go,22.0,3,14.852566666666666,16.308333333333334
0,40,PMd,instruction,30.0,3,14.852566666666666,16.308333333333334
0,40,PMd,go,23.0,3,14.852566666666666,16.308333333333334
0,41,PMd,instruction,15.0,3,14.852566666666666,16.308333333333334
0,41,PMd,go,11.0,3,14.852566666666666,16.308333333333334
0,42,PMd,instruction,10.0,3,14.852566666666666,16.308333333333334
0,42,PMd,go,9.0,3,14.852566666666666,16.308333333333334
0,43,PMd,instruction,7.0,3,14.852566666666666,16.308333333333334
0,43,PMd,go,17.0,3,14.852566666666666,16.308333333333334
0,44,PMd,instruction,11.0,3,14.852566666666666,16.308333333333334
0,44,PMd,go,14.0,3,14.852566666666666,16.308333333333334
0,45,PMd,instruction,2.0,3,14.852566666666666,16.308333333333334
0,45,PMd,go,9.0,3,14.852566666666666,16.308333333333334
0,46,PMd,instruction,13.0,3,14.852566666666666,16.308333333333334
0,46,PMd,go,10.0,3,14.852566666666666,16.308333333333334
0,47,PMd,instruction,3.0,3,14.852566666666666,16.308333333333334
0,47,PMd,go,6.0,3,14.852566666666666,16.308333333333334
0,48,PMd,instruction,13.0,3,14.852566666666666,16.308333333333334
0,48,PMd,go,6.0,3,14.852566666666666,16.308333333333334
0,49,PMd,instruction,2.0,3,14.852566666666666,16.308333333333334
0,49,PMd,go,15.0,3,14.852566666666666,16.308333333333334
0,50,PMd,instruction,11.0,3,14.852566666666666,16.308333333333334
